"Supplementary Data 6. R - Resistance, S - Susceptible"													
sample_set	comid	sra_accessions	species	Rifampicin	Isoniazid	Ethambutol	Kanamycin	Capreomycin	Amikacin	Streptomycin	Ciprofloxacin	Moxifloxacin	Amoxicillin
MTBC_A1	C00014868	SRR2100933	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014870	SRR2100935	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014872	SRR2100937	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014876	SRR2100941	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014877	SRR2100942	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014879	SRR2100943	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014880	SRR2100944	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014888	SRR2100947	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014889	SRR2100948	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014891	SRR2100950	tuberculosis	R	R	R	S	S	S	 	S	S	S
MTBC_A1	C00014908	SRR2100963	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014918	SRR2100967	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014924	SRR2100973	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014936	SRR2100985	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014938	SRR2100987	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014939	SRR2100988	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014943	SRR2100992	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00014946	SRR2100995	tuberculosis	S	S	S	 	 	 	 	 	 	 
