comid	country
820-10	Germany
8210-12	Germany
8215-09	Germany
8224-07	Germany
8230-07	Germany
8262-01	Uzbekistan
8267-06	Germany
8306-06	Germany
8307-06	Germany
8308-06	Germany
8313-08	Germany
8332-09	Germany
8360-08	Germany
8366-05	Germany
84-06	Germany
8404-01	Uzbekistan
8404-08	Germany
8407-01	Uzbekistan
8435-05	Uzbekistan
8439-05	Uzbekistan
8440-05	Uzbekistan
8446-05	Uzbekistan
8447-05	Uzbekistan
8455-05	Uzbekistan
8456-05	Uzbekistan
8457-05	Uzbekistan
8465-12	Germany
8480-07	Germany
8487-05	Germany
8506-06	Germany
8515-12	Germany
8516-12	Germany
852-07	Germany
853-06	Germany
8586-05	Germany
8586-10	Germany
8591-06	Germany
8634-08	Germany
8635-08	Germany
8644-04	Uzbekistan
8645-04	Uzbekistan
8647-01	Uzbekistan
8647-04	Uzbekistan
8648-04	Uzbekistan
8649-04	Uzbekistan
8650-04	Uzbekistan
8650-11	Germany
8651-04	Uzbekistan
8652-04	Uzbekistan
8654-06	Germany
8655-04	Uzbekistan
8658-01	Uzbekistan
8658-04	Uzbekistan
8659-01	Uzbekistan
8659-04	Uzbekistan
8660-04	Uzbekistan
8661-04	Uzbekistan
8662-04	Uzbekistan
8662-05	Germany
8664-04	Uzbekistan
8666-04	Uzbekistan
8668-04	Uzbekistan
8669-04	Uzbekistan
8671-04	Uzbekistan
8681-07	Germany
8688-09	Germany
8745-06	Germany
8767-06	Germany
8768-06	Germany
8769-11	Germany
8779-06	Germany
8844-10	Germany
8846-11	Germany
8847-11	Germany
886-12	Germany
8864-03	Sierra Leone
8867-03	Sierra Leone
8868-03	Sierra Leone
8869-01	Uzbekistan
8871-01	Uzbekistan
8874-01	Uzbekistan
8896-11	Germany
8912-09	Germany
8917-07	Germany
8918-07	Germany
8919-07	Germany
8926-05	Germany
8927-06	Germany
8941-07	Germany
8961-05	Germany
8962-06	Germany
8998-11	Germany
9000-10	Germany
9002-06	Germany
9003-06	Germany
9045-05	Uzbekistan
9048-05	Uzbekistan
9050-05	Uzbekistan
9052-05	Uzbekistan
9053-05	Uzbekistan
9054-05	Uzbekistan
9057-12	Germany
9059-05	Uzbekistan
9059-12	Germany
9060-05	Uzbekistan
9064-05	Uzbekistan
9096-01	Uzbekistan
9097-09	Germany
9133-09	Germany
9148-11	Germany
9150-05	Germany
9165-12	Germany
9167-12	Germany
9171-08	Germany
9179-05	Germany
9211-06	Germany
925-08	Germany
9254-06	Germany
9265-08	Germany
9293-07	Germany
9293-11	Germany
9294-11	Germany
9295-12	Germany
9296-06	Germany
9296-07	Germany
9296-10	Germany
9297-07	Germany
9300-07	Germany
9322-08	Germany
9337-09	Germany
9342-11	Germany
936-05	Germany
9368-08	Germany
9382-07	Germany
9385-08	Germany
9385-12	Germany
9407-10	Germany
9424-08	Germany
9426-11	Germany
9489-08	Germany
9504-10	Germany
9524-07	Germany
9528-08	Germany
9538-11	Germany
9546-01	Uzbekistan
9549-01	Uzbekistan
9553-01	Uzbekistan
9556-08	Germany
9559-01	Uzbekistan
9560-01	Uzbekistan
9580-10	Germany
9589-07	Germany
9598-07	Germany
9604-08	Germany
961-07	Germany
9670-11	Germany
9675-11	Germany
9677-10	Germany
9679-07	Germany
9681-11	Germany
9688-04	Uzbekistan
9689-04	Uzbekistan
9690-04	Uzbekistan
9691-04	Uzbekistan
9694-04	Uzbekistan
9700-04	Uzbekistan
9702-04	Uzbekistan
9703-04	Uzbekistan
9707-12	Germany
9708-05	Germany
9716-11	Germany
9750-07	Germany
9755-11	Germany
9798-07	Germany
9825-01	Uzbekistan
9827-08	Germany
9828-01	Uzbekistan
9829-08	Germany
984-08	Germany
9840-06	Germany
987-07	Germany
987-08	Germany
9870-09	Germany
9893-07	Germany
9894-10	Germany
9921-09	Germany
9921-12	Germany
9952-07	Germany
9961-11	Germany
9965-07	Germany
9966-05	Uzbekistan
997-10	Germany
9972-05	Uzbekistan
9973-05	Uzbekistan
9974-05	Uzbekistan
9975-05	Uzbekistan
9976-05	Uzbekistan
9977-05	Uzbekistan
9978-05	Uzbekistan
9979-05	Uzbekistan
998-05	Germany
9980-05	Uzbekistan
9982-05	Uzbekistan
999-12	Germany
C00000569	UK
C00000570	UK
C00000571	UK
C00000572	UK
C00000573	UK
C00000574	UK
C00000575	UK
C00000577	UK
C00000578	UK
C00000579	UK
C00000581	UK
C00000582	UK
C00000583	UK
C00003745	UK
C00003746	UK
C00003747	UK
C00003748	UK
C00003749	UK
C00003750	UK
C00003751	UK
C00003752	UK
C00003753	UK
C00003754	UK
C00003755	UK
C00003756	UK
C00003757	UK
C00003758	UK
C00003759	UK
C00003761	UK
C00003762	UK
C00003763	UK
C00003764	UK
C00003765	UK
C00003766	UK
C00003767	UK
C00003768	UK
C00003769	UK
C00003770	UK
C00003771	UK
C00003772	UK
C00003773	UK
C00003774	UK
C00003775	UK
C00003776	UK
C00003777	UK
C00003778	UK
C00003779	UK
C00003780	UK
C00003781	UK
C00003782	UK
C00003783	UK
C00003784	UK
C00003785	UK
C00003786	UK
C00003787	UK
C00003788	UK
C00003790	UK
C00003791	UK
C00003792	UK
C00003793	UK
C00003794	UK
C00003795	UK
C00003796	UK
C00003797	UK
C00003798	UK
C00003799	UK
C00003800	UK
C00003801	UK
C00003802	UK
C00003803	UK
C00003804	UK
C00003805	UK
C00003806	UK
C00003807	UK
C00003808	UK
C00003809	UK
C00003810	UK
C00003811	UK
C00003812	UK
C00003813	UK
C00003814	UK
C00003815	UK
C00003816	UK
C00003817	UK
C00003818	UK
C00003819	UK
C00003820	UK
C00003821	UK
C00003822	UK
C00003823	UK
C00003824	UK
C00003825	UK
C00003826	UK
C00003827	UK
C00003828	UK
C00003829	UK
C00003830	UK
C00003831	UK
C00003832	UK
C00003833	UK
C00003834	UK
C00003835	UK
C00003836	UK
C00003837	UK
C00003838	UK
C00003839	UK
C00003840	UK
C00005264	UK
C00005265	UK
C00005266	UK
C00005267	UK
C00005268	UK
C00005269	UK
C00005270	UK
C00005271	UK
C00005272	UK
C00005273	UK
C00005274	UK
C00005275	UK
C00005276	UK
C00005277	UK
C00005278	UK
C00005279	UK
C00005280	UK
C00005281	UK
C00005282	UK
C00005283	UK
C00005284	UK
C00005285	UK
C00005286	UK
C00005287	UK
C00005288	UK
C00005289	UK
C00005290	UK
C00005291	UK
C00005292	UK
C00005293	UK
C00005294	UK
C00005295	UK
C00005296	UK
C00005297	UK
C00005298	UK
C00005299	UK
C00005300	UK
C00005301	UK
C00005302	UK
C00005303	UK
C00005304	UK
C00005305	UK
C00005306	UK
C00005307	UK
C00005308	UK
C00005309	UK
C00005310	UK
C00005311	UK
C00005312	UK
C00005313	UK
C00005314	UK
C00005315	UK
C00005316	UK
C00005317	UK
C00005318	UK
C00005319	UK
C00005320	UK
C00005321	UK
C00005323	UK
C00005324	UK
C00005326	UK
C00005327	UK
C00005329	UK
C00005330	UK
C00005331	UK
C00005332	UK
C00005333	UK
C00005334	UK
C00005335	UK
C00005336	UK
C00005337	UK
C00005338	UK
C00005339	UK
C00005340	UK
C00005342	UK
C00005345	UK
C00005346	UK
C00005347	UK
C00005348	UK
C00005349	UK
C00005350	UK
C00005351	UK
C00005353	UK
C00005354	UK
C00005355	UK
C00005356	UK
C00005357	UK
C00005358	UK
C00005359	UK
C00005360	UK
C00005361	UK
C00005363	UK
C00005364	UK
C00005366	UK
C00005367	UK
C00005368	UK
C00005369	UK
C00005370	UK
C00005372	UK
C00005373	UK
C00005374	UK
C00005375	UK
C00005376	UK
C00005377	UK
C00005378	UK
C00005379	UK
C00005380	UK
C00005381	UK
C00005382	UK
C00005384	UK
C00005385	UK
C00005386	UK
C00005387	UK
C00005388	UK
C00005389	UK
C00005390	UK
C00005392	UK
C00005393	UK
C00005394	UK
C00005395	UK
C00005396	UK
C00005397	UK
C00005398	UK
C00005399	UK
C00005400	UK
C00005401	UK
C00005402	UK
C00005404	UK
