"Supplementary Data 7. R - Resistance, S - Susceptible"													
sample_set	comid	sra_accessions	species	Rifampicin	Isoniazid	Ethambutol	Kanamycin	Capreomycin	Amikacin	Streptomycin	Ciprofloxacin	Moxifloxacin	Ofloxacin
MTBC_A2	C00008841	SRR2100296	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008848	SRR2100303	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005281	ERR046746	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005280	ERR046745	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003753	ERR038261	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005324	ERR046789	tuberculosis	S	R	S	S	S	S	R	 	R	R
MTBC_A2	C00003751	ERR038259	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003750	ERR038258	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003756	ERR038264	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003755	ERR038263	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003754	ERR038262	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003759	SRR2100066	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012940	SRR2100531	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014994	SRR2101036	tuberculosis	S	S	S	 	 	 	 	S	 	 
MTBC_A2	C00014991	SRR2101033	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005289	ERR046754	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014992	SRR2101034	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005288	ERR046753	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014999	SRR2101037	tuberculosis	S	S	R	 	 	 	 	S	 	 
MTBC_A2	C00009080	SRR2100335	tuberculosis	R	R		S	S	S	R	S	S	S
MTBC_A2	C00013001	SRR2100589	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014933	SRR2100982	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014932	SRR2100981	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014931	SRR2100980	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014930	SRR2100979	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012943	SRR2100534	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005294	ERR046759	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008782	SRR2100241	tuberculosis	 	 	 	 	 	 	 	 	 	 
MTBC_A2	C00005378	ERR046843	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005376	ERR046841	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005374	ERR046839	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005373	ERR046838	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005372	ERR046837	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005370	SRR2469368	tuberculosis	S	S								
MTBC_A2	C00017941	SRR2101207	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00017940	SRR2101206	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014546	SRR2100747	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014731	SRR2100822	tuberculosis	S	R	S	S	S	S	S	B	S	S
MTBC_A2	C00014730	SRR2100821	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014733	SRR2100824	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014732	SRR2100823	tuberculosis	S	R	S	 	 	 	 	S	 	 
